"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
1427,BIO F311,RECOMBINANT DNA TECH,-,-,3,L1,RITA SHARMA,6102,M W F  8,,24/12 FN
"",,,,,,,Ashis Kumar Das,,,,
"",,Tutorial,,,,T1,Rita Sharma,6159,F  5,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
1428,BIO F312,PLANT PHYSIOLOGY,-,-,3,L1,JITENDRA PANWAR,6109,M W F  4,,27/12 FN
"",,Tutorial,,,,T1,Jitendra Panwar,6159,Th  2,,
1429,BIO F313,ANIMAL PHYSIOLOGY,-,-,3,L1,SYAMANTAK MAJUMDER,6109,T Th  5  F  10,,18/12 FN
"",,,,,,,Shilpi Garg,,,,
"",,Tutorial,,,,T1,Syamantak Majumder,6156,T  2,,
"",,,,,,,Shilpi Garg,,,,
1431,BIO F341,DEVELOPMENTAL BIOLOGY,-,-,3,L1,MEGHANA TARE,,M W F  7,,23/12 FN
"",,Tutorial,,,,T1,Meghana Tare,,Th  9,,
1650,BIO F366,LABORATORY PROJECT,-,-,3,L1,P R DEEPA,,,,
1736,BIO F367,LABORATORY PROJECT,-,-,3,L1,P R DEEPA,,,,
1685,BIO F376,DESIGN PROJECT,-,-,3,L1,P R DEEPA,,,,
1752,BIO F377,DESIGN PROJECT,-,-,3,L1,P R DEEPA,,,,
1433,BIO F417,BIOMOLECULAR MODELING,-,-,3,L1,SHIBASISH CHOWDHURY,6103,M W F  7,,23/12 FN
1434,BIO F418,GENETIC ENGINEERING TECH,-,-,4,L1N,MUKUL JOSHI,,T  2,,24/12 AN
"",,Practical,,,,P1N,Mukul Joshi,,T Th  7 8,,
"",,,,,,,Sandhya Amol Marathe,,,,
"",,,,,,,Ankita Daiya(RS),,,,
"",,,,,,,Swarnima Kushwaha(RS),,,,
"",,,,,,,Smita Dey(RS),,,,
"",,,,,,,Shradha Bhatnagar(RS),,,,
1436,BIO F421,ENZYMOLOGY,-,-,3,L1,P R DEEPA,6160,M  10  T Th  3,,28/12 FN
"",,,,,,,Pankaj Kumar Sharma,,,,
1710,BIO F491,SPECIAL PROJECT,-,-,3,L1,P R DEEPA,,,,
71,BIO G512,MOLEC MECH OF GENE EXPRE,-,-,5,L1N,SANJAY KUMAR VERMA,6101,M W F  3,,22/12 AN
"",,,,,,,Meghana Tare,,,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
388,BIO G513,MICROBIAL FERMENT TECHNO,-,-,5,L1,SANJAY KUMAR VERMA,6102,T Th  4  W  10,,17/12 AN
"",,,,,,,Suresh Gupta,,,,
392,BIO G514,MOLECULAR IMMUNOLOGY,-,-,5,L1,ASHIS KUMAR DAS,6160,M W F  3,,22/12 AN
111,BIO G515,STEM CELL & REGENER BIO,-,-,4,L1,RAJDEEP CHOWDHURY,6102,M  10  T Th  3,,28/12 AN
2009,BIO G523,ADV & APPLIED MICROBIO,-,-,5,L1,PRABHAT NATH JHA,6101,M W F  4,,27/12 AN
"",,,,,,,Vishal Saxena,,,,
"",,,,,,,Monika Sandhu(RS),,,,
2008,BIO G524,ANIMAL CELL TECHNOLOGY,-,-,5,L1N,UMA S DUBEY,,M W F  4,,23/12 AN
"",,,,,,,Sudeshna Mukherjee,,,,
"",,Practical,,,,P1N,Monika Sandhu(RS),,M  9 10,,
"",,,,,,,Aastha Mittal(RS),,,,
"",,,,,,,Mahima Choudhary(RS),,,,
"",,,,,,,Krishna Kumar.r.(RS),,,,
192,BIO G526,CANCER BIOLOGY,-,-,5,L1,SUDESHNA MUKHERJEE,6108,T Th  4  W  10,,17/12 AN
2015,BIO G532,BIOSTATISTICS & BIOMODEL,-,-,4,L1,SHILPI GARG,1202,M W F  2,,20/12 AN
"",,,,,,,Shibasish Chowdhury,,,,
151,BIO G542,ADVANCED CELL MOLE BIO,-,-,5,L1N,VISHAL SAXENA,,T Th  5  F  10,,28/12 AN
1887,BIO G570,RECENT DEVELOPMENTS IN BIOLOGY,-,-,1,L1,SHIBASISH CHOWDHURY,,,,17/12 FN
2016,BIO G612,HUMAN GENETICS,-,-,5,L1,SUDESHNA MUKHERJEE,6159,M W F  2,,20/12 AN
1375,BIOT F424,FOOD BIOTECHNOLOGY,-,-,3,L1,UMA S DUBEY,6160,M W F  7,,23/12 FN
"",,,,,,,P R Deepa,,,,
549,BITS C790T,INDEPENDENT STUDY,-,-,1,L1,JITENDRA PANWAR,,,,
596,BITS C791T,TEACHING PRACTICE I,-,-,1,L1,JITENDRA PANWAR,,,,
520,BITS C797T,PH D SEMINAR,-,-,1,L1,JITENDRA PANWAR,,,,
553,BITS C799T,PH D THESIS,-,-,10,L1,JITENDRA PANWAR,,,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,-,-,1,L1,JITENDRA PANWAR,,,,
1003,BITS F110,ENGINEERING GRAPHICS,-,-,2,L1B,SAYANTAN CHAKRABORTY,6157,M  10,,14/12 AN
"",,,,,,L2N,Sayantan Chakraborty,,W  10,,29/01 AN
"",,,,,,L3N,Gaurav Watts,,M  10,,29/01 AN
"",,Practical,,,,P1B,Mukund Lahoti,,T Th  2 3,,
"",,,,,,,Shreyas Pranav(RS),,,,
"",,,,,,P2N,Shailendra Tripathi(RS),,T Th  1 2,,
"",,,,,,,Gaurav Tyagi(RS),,,,
"",,,,,,P3N,Pawar Shrikant Shankarrao(RS),,T Th  1 2,,
"",,,,,,,Shital Patil(RS),,,,
"",,,,,,P4N,Shashank B S,,T Th  1 2,,
"",,,,,,,Deepika Choudhary(RS),,,,
"",,,,,,P5N,Varun Jain(RS),,T Th  1 2,,
"",,,,,,,Vishal Singh(RS),,,,
"",,,,,,P6N,Shedge Hrishikesh Nandkumar(RS),,T Th  1 2,,
"",,,,,,,Aniruddha Tangirala(RS),,,,
"",,,,,,P7N,Mukund Lahoti,,T Th  1 2,,
"",,,,,,,Shreyas Pranav(RS),,,,
"",,,,,,P8N,Jaya Kumar Bhaskar M(RS),,T Th  1 2,,
"",,,,,,,Chetan Jalendra(RS),,,,
"",,,,,,P9N,D Sri Satya Omkar(RS),,T Th  1 2,,
"",,,,,,,Pulleti Siva Sankar(RS),,,,
1004,BITS F111,THERMODYNAMICS,-,-,3,L1B,C RANGANAYAKULU,6101,M W F  7,,23/12 FN
"",,,,,,L2N,Manojkumar Surajkaranji Soni,,M W F  3,,27/01 AN
"",,,,,,L3N,Amit Jain,,M W F  8,,27/01 AN
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
"",,,,,,L4N,Aakash Chand Rai,,T Th  5  F  10,,27/01 AN
"",,Tutorial,,,,T1B,C Ranganayakulu,6101,Th  10,,
"",,,,,,T2N,Amit Jain,,F  1,,
"",,,,,,T3N,Arkaprovo Ghosal,,F  1,,
"",,,,,,T5N,Suvanjan Bhattacharyya,,F  1,,
"",,,,,,T6N,Priya Christina Sande,,Th  8,,
"",,,,,,T7N,C Ranganayakulu,,M  1,,
"",,,,,,T8N,A R Harikrishnan,,M  1,,
"",,,,,,T10N,Amit Jain,,M  1,,
"",,,,,,T11N,Madhukar Mishra,,M  1,,
"",,,,,,T12N,Shamik Chakrabarti,,Th  8,,
"",,,,,,T14N,Ajita Neogi(RS),,F  1,,
"",,,,,,T15N,Shyam Sunder Yadav,,Th  8,,
"",,,,,,T16N,A R Harikrishnan,,Th  8,,
"",,,,,,T17N,Arkaprovo Ghosal,,Th  8,,
"",,,,,,T18N,Madhukar Mishra,,Th  8,,
"",,,,,,T19N,C Ranganayakulu,,W  1,,
"",,,,,,T20N,Suvanjan Bhattacharyya,,W  1,,
"",,,,,,T21N,Surojit Pande,,W  1,,
"",,,,,,T22N,Vivek Tiwari(RS),,W  1,,
"",,,,,,T23N,Priya Christina Sande,,W  1,,
1005,BITS F112,TECHNICAL REPORT WRITING,-,-,2,L1B,CHINTALAPALLI VIJAYAKUMAR,,T Th  8,,18/12 AN
"",,,,,,L2N,Sanjiv Kumar Choudhary,,M W  3,,25/01 AN
"",,,,,,L3N,Paul Mathew,,M W  3,,25/01 AN
"",,,,,,L4N,Kumar Bhattacharya,,M W  8,,25/01 AN
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
"",,,,,,,Abhijith V(RS),,,,
"",,,,,,,Rajitha M(RS),,,,
"",,,,,,,Swagata Ghosh(RS),,,,
"",,,,,,,Jerin V Philipose(RS),,,,
"",,,,,,,Chandni Rauniyar(RS),,,,
"",,,,,,,Navya Bahl(RS),,,,
"",,,,,,,Kirti Singh(RS),,,,
"",,,,,,,Geoffrey Bryan Fernandez(RS),,,,
"",,,,,,L5N,Devika,,M W  8,,25/01 AN
"",,,,,,L6N,Chintalapalli Vijayakumar,,T Th  5,,25/01 AN
"",,,,,,L7N,Sangeeta Sharma,,T Th  5,,25/01 AN
1858,BITS F113,GENERAL MATHEMATICS  I,-,-,3,L1N,SANGITA YADAV,,M W F  3,,24/01 AN
"",,Tutorial,,,,T1N,Sangita Yadav,,T  3,,
1892,BITS F214,SCIENCE TECH & MODERNITY,-,-,3,L1,SUNITA RAINA,6151,M W F  5,,15/12 FN
"",,,,,,,Supriya(RS),,,,
1861,BITS F218,GENERAL MATHEMATICS  III,-,-,3,L1,ASHISH TIWARI,6101,M  10  T Th  3,,28/12 FN
"",,Tutorial,,,,T1,Ashish Tiwari,6107,W  1,,
1862,BITS F219,PROCESS ENGINEERING,-,-,3,L1,JINDAL ANIL BRIJBHUSHAN,5101,M W  3,,22/12 FN
"",,Tutorial,,,,T1,Jindal Anil Brijbhushan,5101,F  3,,
"",,Practical,,,,P1,Sharma Swati Shivdayal(RS),,Th  7 8,,
"",,,,,,,Prayag Kedar Shridhar(RS),,,,
"",,,,,,,Bhide Atharva Rajendra Archana(RS),,,,
"",,,,,,P2,Sharma Swati Shivdayal(RS),,Th  7 8,,
"",,,,,,,Prayag Kedar Shridhar(RS),,,,
"",,,,,,,Bhide Atharva Rajendra Archana(RS),,,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
1632,BITS F225,ENVIRONMENTAL STUDIES,-,-,3,L1,MUTHUKUMAR G,5102,M W F  2,,20/12 FN
"",,,,,,,Sarbani Ghosh,,,,
"",,,,,,,Rita Sharma,,,,
"",,,,,,,Bhanu Vardhan Reddy Kuncharam,,,,
"",,,,,,,To Be Announced By Hss Dept,,,,
1334,BITS F312,NEURAL NET & FUZZY LOGIC,-,-,3,L1,BIJOY KRISHNA MUKHERJEE,1227,T Th  4  W  10,,17/12 FN
"",,,,,,,Surekha Bhanot,,,,
1335,BITS F343,FUZZY LOGIC & APPL,-,-,3,L1,SHIVI AGARWAL,1202,M W F  3,,22/12 FN
