COMCOD,SEC,ROOM,DAYS_&_HOURS
1196.0,L1,1201.0,M W F  5
1196.0,T1,1231.0,Th  2
1196.0,T2,1203.0,Th  2
1196.0,P1,,Th  10 11
1196.0,P2,,T  7 8
1197.0,L1,5101.0,M W F  4
1197.0,T1,6101.0,Th  9
1197.0,T2,6102.0,Th  9
2281.0,L1,1223.0,M W F  8
2281.0,T1,1232.0,T  2
2281.0,T2,1203.0,T  2
2282.0,L1,,M W F  9
1215.0,L1,1227.0,M W F  9
2304.0,L1,1231.0,M W F  2
1667.0,L1,,
1737.0,L1,,
1686.0,L1,,
1753.0,L1,,
1231.0,L1,1204.0,T Th  4  W  10
1221.0,L1,1204.0,M W F  7
1228.0,L1,6152.0,M W F  3
1234.0,L1,1226.0,M W F  3
1711.0,L1,,
433.0,L1N,1220.0,M  10  T Th  3
325.0,L1N,,T Th  5  F  10
950.0,L1N,,M W F  4
278.0,L1N,,M W F  8
304.0,L1N,,T Th  5  F  10
931.0,L1N,5101.0,T W Th  7
931.0,L2,,T Th  4  W  10
2024.0,L1,1204.0,M W F  4
880.0,L1N,,M W F  4
526.0,L1N,,T Th  5  F  10
2337.0,L1N,,M W F  4
2339.0,L1N,,M W F  9
2340.0,L1N,,T Th  4  W  10
2341.0,L1,5103.0,T Th S  2
2346.0,L1,1204.0,M W F  8
345.0,L1,6155.0,M W F  2
613.0,L1,1232.0,T Th  4  W  10
346.0,L1,1204.0,M W F  3
343.0,L1N,1232.0,M  10  T Th  3
326.0,L1N,,M W F  5
2119.0,L1,1203.0,M  10  T Th  3
1069.0,L1,1234.0,M  10  T Th  3
1069.0,T1,6155.0,W  1
1069.0,T2,1233.0,W  1
1072.0,L1,1234.0,M W F  3
1072.0,T1,6164.0,Th  1
1072.0,T2,6159.0,Th  1
1071.0,L1,1234.0,T Th  4  W  10
1071.0,T1,6155.0,F  1
1071.0,T2,6159.0,F  1
1070.0,L1,1234.0,M W F  9
1070.0,T1,6155.0,M  1
1070.0,T2,6159.0,M  1
1653.0,L1,,
1184.0,L1,1223.0,M W F  5
1184.0,T1,1202.0,Th  2
1184.0,T2,1226.0,Th  2
1185.0,P1,,T Th  7 8
1185.0,P2,,T Th  7 8
1186.0,L1,1227.0,M W F  8
1186.0,T1,1226.0,T  2
1186.0,T2,1231.0,T  2
1187.0,L1,1223.0,M W F  4
1187.0,T1,6105.0,Th  9
1187.0,T2,,Th  9
1187.0,T3,6109.0,Th  9
1190.0,L1,6108.0,M W F  3
1668.0,L1,,
1738.0,L1,,
1687.0,L1,,
1754.0,L1,,
1206.0,L1,1226.0,M W F  9
1201.0,L1,1204.0,M  10  T Th  3
1205.0,L1,,T Th  4  W  10
2178.0,L1,1203.0,M W F  2
2305.0,L1,6161.0,M W F  7
1209.0,L1,,
279.0,L1N,6102.0,M W F  3
2002.0,L1N,,T Th  5  F  10
2152.0,L1N,,M W F  3
2032.0,L1N,,M  10  T Th  3
