COMCOD,COURSE_NO,COURSE_TITLE,CREDIT,COMPRE_DATE_&_SESSION
740.0,ME G641,THEORY OF ELAST & PLAST,5.0,24/12 AN
742.0,MEL G611,I C FABRICATION TECH,5.0,28/12 AN
743.0,MEL G621,VLSI DESIGN,5.0,24/12 AN
2063.0,MEL G622,INTRO TO ARTIF NEURAL NET,4.0,24/12 AN
500.0,MEL G623,ADVANCED VLSI DESIGN,5.0,18/12 AN
2064.0,MEL G624,ADV VLSI ARCHITECTURES,5.0,28/12 AN
932.0,MEL G625,ADV ANALOG & MIX SIG DES,5.0,27/12 AN
606.0,MEL G626,VLSI TEST & TESTABILITY,5.0,20/12 AN
744.0,MEL G631,PHY & MO OF MICROEL DEV,5.0,22/12 AN
1107.0,MF F211,MECHANICS OF SOLIDS,3.0,17/12 FN
2395.0,MF F216,MATERIALS SCIENCE AND ENGG.,3.0,13/12 FN
2410.0,MF F217,MACHINE DRAWING,2.0,
2411.0,MF F218,TRANSPORT PHENOMENA IN MANU.,4.0,28/12 FN
1664.0,MF F266,STUDY PROJECT,3.0,
2431.0,MF F314,DESIGN OF MACHINE ELEMENTS,3.0,27/12 FN
2415.0,MF F315,AUTOMATION AND CONTROL,4.0,24/12 FN
2416.0,MF F316,MACHINING AND MACHINE TOOLS,4.0,15/12 FN
1681.0,MF F366,LABORATORY PROJECT,3.0,
1749.0,MF F367,LABORATORY PROJECT,3.0,
1698.0,MF F376,DESIGN PROJECT,3.0,
1765.0,MF F377,DESIGN PROJECT,3.0,
1418.0,MF F421,SUPPLY CHAIN MANAGEMENT,4.0,22/12 AN
1884.0,MF F485,SUSTAINABLE MANUFACTURING,3.0,20/12 FN
1422.0,MF F491,SPECIAL PROJECTS,3.0,
2453.0,MPBA G501,MANAGERIAL ECONOMICS,3.0,17/12 AN
2454.0,MPBA G502,FINANCIAL STAT ANALY & REPORT,3.0,18/12 AN
2455.0,MPBA G503,MARKETING MANAGEMENT,3.0,22/12 AN
2456.0,MPBA G504,MANAGING PEOPLE & ORGANIZATION,3.0,15/12 AN
2457.0,MPBA G505,STATISTICS & BASIC ECONOMETRIC,3.0,20/12 AN
2458.0,MPBA G506,"DATA MANAGEMENT &WAREHOUSING",3.0,27/12 AN
2459.0,MPBA G507,PROGRAMMING FOR ANALYTICS,3.0,23/12 AN
649.0,MSE G521,WORLD-CLASS MANUFACTUR,5.0,15/12 AN
1932.0,MST F332,MATERIALS PROCESSING,3.0,22/12 FN
667.0,MUSIC N113T,INDIA CLASS MUSIC(INS) I,3.0,10/12 FN
673.0,MUSIC N114T,INDIA CLASS MUSIC(INS)II,3.0,10/12 AN
1086.0,PHA F211,PHARMACEUTICAL ANALYSIS,3.0,17/12 FN
1292.0,PHA F242,BIOLOGICAL CHEMISTRY,3.0,13/12 FN
1665.0,PHA F266,STUDY PROJECT,3.0,
1295.0,PHA F311,PHARMACOLOGY I,3.0,27/12 FN
1297.0,PHA F312,MEDICINAL CHEMISTRY I,3.0,15/12 FN
1299.0,PHA F313,INSTRU METHODS OF ANAL,4.0,18/12 AN
1300.0,PHA F314,PHARMA FORMUL & BIOPHARM,3.0,24/12 FN
1682.0,PHA F366,LABORATORY PROJECT,3.0,
1750.0,PHA F367,LABORATORY PROJECT,3.0,
1699.0,PHA F376,DESIGN PROJECT,3.0,
1766.0,PHA F377,DESIGN PROJECT,3.0,
1303.0,PHA F413,PHARMA MANG & QUAL CONTR,3.0,17/12 FN
1305.0,PHA F415,PATHOPHYSIOLOGY,3.0,28/12 FN
1306.0,PHA F416,CHEM OF SYNTHETIC DRUGS,3.0,20/12 FN
1724.0,PHA F491,SPECIAL PROJECT,3.0,
351.0,PHA G532,Q A & REGULATORY AFFAIRS,5.0,21/12 AN
2381.0,PHA G534,SEPARATION AND STRU ELUCI TECH,4.0,28/12 AN
2383.0,PHA G536,COSMETICS AND COSMECEUTICALS,5.0,24/12 AN
2385.0,PHA G538,IMMUNOPHARMACOLOGY,4.0,24/12 AN
2387.0,PHA G540,"MODERN PHARMACEUT ANALYTECHNI",4.0,28/12 AN
183.0,PHA G541,COMP AIDED DRUG DESIGN,5.0,27/12 AN
653.0,PHA G542,ADVANCE PHYSICAL PHARMA,5.0,24/12 AN
55.0,PHA G543,CLINICAL RESEARCH,5.0,27/12 AN
2125.0,PHA G544,ADV PHARMACEUTICAL CHEM,5.0,22/12 AN
2293.0,PHA G547,QUALI-DESIGN IN PHARM PROD DEV,5.0,17/12 AN
2388.0,PHA G548,CHEMISTRY OF NATURAL DRUGS,5.0,23/12 AN
747.0,PHA G612,PHARM KINET & CLINIC PHA,5.0,23/12 AN
955.0,PHA G613,PHARMACEUTICAL BIOTECH,5.0,20/12 AN
510.0,PHA G616,PHARMA ADMIN & MGMT,5.0,22/12 AN
145.0,PHA G617,ADV DRUG DELIVERY SYSTEM,5.0,18/12 AN
767.0,PHA G618,RETROSYNTHETIC ANALYSIS,5.0,24/12 AN
2105.0,PHA G619,SCR METHOD & TECH IN PHA,5.0,20/12 AN
2389.0,PHA G623,PHARM APPL OF PLOYM AND BIOPOL,5.0,17/12 AN
2390.0,PHA G624,PRINCIPLES OF TOXICOLOGY,5.0,24/12 AN
2391.0,PHA G625,CELLULAR AND MOLECULAR PHARMAC,5.0,18/12 AN
2393.0,PHA G627,MEDICAL DEVICES AND TESTING,4.0,28/12 AN
2069.0,PHA G642,LABORATORY PROJECT,6.0,
1014.0,PHY F110,PHYSICS LABORATORY,1.0,
1015.0,PHY F111,MECH OSCILLATIONS & WAVE,3.0,11/12 AN
1859.0,PHY F112,GENERAL PHYSICS,3.0,27/01 AN
1126.0,PHY F211,CLASSICAL MECHANICS,4.0,28/12 FN
1127.0,PHY F212,ELECTROMAGNETIC THEO I,3.0,17/12 FN
1128.0,PHY F213,OPTICS,3.0,13/12 FN
1129.0,PHY F214,ELEC MAGNET & OPTICS LAB,2.0,
1666.0,PHY F266,STUDY PROJECT,3.0,
1486.0,PHY F311,QUANTUM MECHANICS II,3.0,18/12 FN
1487.0,PHY F312,STATISTICAL MECHANICS,3.0,27/12 FN
1488.0,PHY F313,COMPUTATIONAL PHYSICS,3.0,15/12 FN
1494.0,PHY F315,THEORY OF RELATIVITY,3.0,23/12 FN
1683.0,PHY F366,LABORATORY PROJECT,3.0,
1751.0,PHY F367,LABORATORY PROJECT,3.0,
1700.0,PHY F376,DESIGN PROJECT,3.0,
1767.0,PHY F377,DESIGN PROJECT,3.0,
2136.0,PHY F379,THIN FILM TECHNOLOGY,3.0,20/12 FN
1496.0,PHY F413,PARTICLE PHYSICS,4.0,22/12 FN
1498.0,PHY F415,GEN THEO OF REL & COSMO,4.0,17/12 FN
1500.0,PHY F417,EXPT METHODS OF PHYSICS,4.0,28/12 FN
1502.0,PHY F419,ADV SOLID STATE PHYSICS,4.0,13/12 FN
1725.0,PHY F491,SPECIAL PROJECT,3.0,
2297.0,SAN G511,SANITATION TECHNOLOGY,5.0,20/12 AN
2298.0,SAN G512,SANITATION AND PUBLIC HEALTH,5.0,28/12 AN
2299.0,SAN G513,SAN GVRNNCE BHAVR CHG&ADVCY,5.0,24/12 AN
632.0,SS G514,OBJ ORI ANALYS & DESIGN,4.0,28/12 AN
2109.0,SS G527,CLOUD COMPUTING,5.0,14/12 AN
485.0,SS G552,SOFTWARE TESTING METHODS,4.0,18/12 AN
430.0,SS G562,SOFTWARE ENGG & MANAGEMT,5.0,27/12 AN
